Order_ID,Order_Date,Order_Quantity,Garment_Type,Fabric_Type,Fabric_Width_inches,Fabric_Width_cm,Pattern_Complexity,Marker_Efficiency_%,Expected_Defect_Rate_%,Operator_Experience_Years,Season,Supplier_ID,Production_Line,Fabric_GSM,Base_Consumption_Per_Unit_m,Planned_BOM_m,Actual_Consumption_m,Planned_BOM_yards,Actual_Consumption_yards,Base_Consumption_Per_Unit_yards,Planned_BOM,Actual_Consumption,Base_Consumption_Per_Unit,Measurement_Unit,Variance_m,Variance_yards,Variance_%,season_encoded,Order_Size_Category,Fabric_Cost_Per_m,Fabric_Cost_Per_yard,Planned_Cost_USD,Actual_Cost_USD,Waste_Cost_USD,Savings_Potential_USD,Efficiency_x_Experience,Defect_x_Complexity,Order_Value_USD
ORD_000001,2023-01-01,1327,Jacket,Silk,71,180.34,Simple,85.14623865760349,4.853144468693024,3,Summer,SUP_9,Line_C,197.2820524730729,3.1052456471110124,4326.694022402129,4624.797605687335,4731.730120574087,5057.740163525669,3.395937934168792,4326.694022402129,4624.797605687335,3.1052456471110124,meters,298.1035832852058,326.01004295158236,6.88986976526947,2,Medium,25.0,27.3403324575,108167.35056005322,115619.94014218338,7452.589582130145,7452.589582130145,255.43871597281048,4.853144468693024,103016.52434290784
ORD_000002,2023-01-01,1370,Jacket,Cotton,55,139.7,Simple,81.73382549521311,0.41486540809765515,17,Spring,SUP_2,Line_A,182.49180518867092,4.008589835361489,5766.356478167502,5636.661831261213,6306.164127262334,6164.328336687293,4.383847151381532,5766.356478167502,5636.661831261213,4.008589835361489,meters,-129.69464690628956,-141.83579057504085,-2.24916110194258,1,Medium,8.5,9.29571303555,49014.03006442377,47911.62556572031,0.0,1102.4044987034613,1389.4750334186228,0.41486540809765515,46680.02863278454
ORD_000003,2023-01-01,391,Dress,Cotton-Blend,71,180.34,Simple,88.56010863097273,2.6480109024944483,16,Summer,SUP_9,Line_C,147.55342572519598,2.6616391260951535,1092.7359432183655,1088.8533303619784,1195.030559033998,1190.7844819821028,2.9108039435732502,1092.7359432183655,1088.8533303619784,2.6616391260951535,meters,-3.8826128563871407,-4.246077051895327,-0.35531116922464623,2,Small,7.0,7.6552930881,7649.151602528558,7621.973312533848,0.0,27.178289994709985,1416.9617380955638,2.6480109024944483,7284.906288122435
ORD_000004,2023-01-01,3065,T-Shirt,Cotton,63,160.02,Medium,83.48039270356578,0.278482638490121,3,Fall,SUP_5,Line_C,164.06296376707115,1.3798275215598048,4440.629921259842,4332.512525749798,4856.331934718645,4738.0933132113005,1.5089977269381325,4440.629921259842,4332.512525749798,1.3798275215598048,meters,-108.11739551004393,-118.23862150734476,-2.4347310500346797,0,XLarge,8.5,9.29571303555,37745.35433070866,36826.35646887329,0.0,918.9978618353734,250.44117811069736,0.3202550342636391,35947.956505436814
ORD_000005,2023-01-01,3893,Jacket,Cotton,59,149.86,Medium,83.95969384218,2.6407238501782637,11,Summer,SUP_9,Line_A,174.6572441513174,4.297344187908714,17566.038969705056,17341.05525963539,19210.45381572548,18964.40863849242,4.699632751269184,17566.038969705056,17341.05525963539,4.297344187908714,meters,-224.98371006966772,-246.0451772330598,-1.2807879480267677,2,XLarge,8.5,9.29571303555,149311.33124249298,147398.9697069008,0.0,1912.3615355921756,923.55663226398,3.036832427705003,142201.2678499933
ORD_000006,2023-01-02,2109,Shirt,Silk,59,149.86,Complex,87.43515908611703,0.6242950797644622,13,Summer,SUP_7,Line_D,166.6349939933217,2.5944214600293605,5745.216602162018,5697.973150248379,6283.045277738323,6231.3792104679715,2.8372938100830103,5745.216602162018,5697.973150248379,2.5944214600293605,meters,-47.24345191363864,-51.66606727035196,-0.8223093259157568,2,Large,25.0,27.3403324575,143630.41505405045,142449.3287562095,0.0,1181.086297840966,1136.6570681195212,0.842798357682024,136790.87148004802
ORD_000007,2023-01-02,889,Pants,Cotton,63,160.02,Complex,84.24802024766711,0.09286227962755177,13,Spring,SUP_2,Line_C,179.5980541368288,3.3745781777277837,3149.9999999999995,3157.2927902300366,3444.8818896449993,3452.8573820222805,3.690483571316085,3149.9999999999995,3157.2927902300366,3.3745781777277837,meters,7.292790230037099,7.975492377281171,0.23151715015990795,1,Medium,8.5,9.29571303555,26774.999999999996,26836.98871695531,61.98871695531534,61.98871695531534,1095.2242632196726,0.1253640774971949,25499.999999999996
ORD_000008,2023-01-02,1650,Jacket,Polyester,71,180.34,Simple,84.06013602600862,2.839323238781597,20,Summer,SUP_8,Line_D,224.4504019201822,3.1052456471110124,5379.838083619829,5399.148856823198,5883.462470947433,5904.580989323092,3.395937934168792,5379.838083619829,5399.148856823198,3.1052456471110124,meters,19.310773203368626,21.118518375658823,0.35894710776082234,2,Large,6.2,6.78040244946,33354.99611844294,33474.72291230383,119.72679386088548,119.72679386088548,1681.2027205201725,2.839323238781597,31766.662969945657
ORD_000009,2023-01-02,2074,Jacket,Cotton-Blend,63,160.02,Complex,85.0423008221163,0.08553930408005334,13,Spring,SUP_1,Line_A,211.17917293423085,4.724409448818897,10288.346456692912,10514.353537775978,11251.472502557053,11498.63685193946,5.166676999842519,10288.346456692912,10514.353537775978,4.724409448818897,meters,226.0070810830657,247.16434938240673,2.1967289110490693,1,Large,7.0,7.6552930881,72018.42519685038,73600.47476443184,1582.04956758146,1582.04956758146,1105.549910687512,0.11547806050807201,68588.97637795276
ORD_000010,2023-01-02,4589,T-Shirt,Silk,55,139.7,Simple,88.1814216551723,3.0066522761157315,14,Spring,SUP_3,Line_D,176.02918208829365,1.3743736578382248,6622.350751610595,6612.329851623106,7242.2908479683465,7231.331858481095,1.5030333090450967,6622.350751610595,6612.329851623106,1.3743736578382248,meters,-10.02089998748852,-10.958989487251529,-0.15131937831972095,1,XLarge,25.0,27.3403324575,165558.76879026488,165308.24629057766,0.0,250.52249968721299,1234.5399031724123,3.0066522761157315,157675.01789549034
ORD_000011,2023-01-03,707,Shirt,Cotton-Blend,59,149.86,Simple,91.58597230193533,0.34452526140979667,1,Spring,SUP_9,Line_B,149.7930013833535,1.9217936740958226,1426.6435339650338,1415.1894826655189,1560.1963406778686,1547.6700378573087,2.1016991185800076,1426.6435339650338,1415.1894826655189,1.9217936740958226,meters,-11.454051299514958,-12.526302820559977,-0.8028670811468235,1,Medium,7.0,7.6552930881,9986.504737755236,9906.326378658632,0.0,80.17835909660471,91.58597230193533,0.34452526140979667,9510.956893100227
ORD_000012,2023-01-03,1782,Dress,Cotton,63,160.02,Medium,87.34194492898433,1.3388713945984083,2,Fall,SUP_9,Line_C,213.43419107256034,3.449568803899512,6454.488188976377,6553.875426394106,7058.71411718485,7167.405321706177,3.7724943173453314,6454.488188976377,6553.875426394106,3.449568803899512,meters,99.38723741772901,108.69120452132756,1.5398159312999056,0,Large,8.5,9.29571303555,54863.14960629921,55707.941124349905,844.7915180506966,844.7915180506966,174.68388985796867,1.5397021037881695,52250.61867266591
ORD_000013,2023-01-03,3227,Pants,Silk,59,149.86,Simple,88.21325689449706,0.052964072143794116,13,Summer,SUP_1,Line_C,178.7736431634659,2.6691578806886422,9044.041105031361,8477.741978691005,9890.683622834124,9271.371367452639,2.9190265535833437,9044.041105031361,8477.741978691005,2.6691578806886422,meters,-566.2991263403565,-619.3122553814846,-6.2615717881392,2,XLarge,25.0,27.3403324575,226101.02762578405,211943.54946727512,0.0,14157.478158508911,1146.7723396284619,0.052964072143794116,215334.31202455622
ORD_000014,2023-01-03,1259,Shirt,Denim,71,180.34,Medium,84.2005837515955,0.12564908840143182,19,Spring,SUP_4,Line_C,136.83748935994112,1.8365309970056556,2427.8021514916263,2450.3128561562485,2655.0767185125937,2679.6947244879284,2.0084547210655423,2427.8021514916263,2450.3128561562485,1.8365309970056556,meters,22.510704664622153,24.618005975334654,0.9272050710883389,1,Medium,9.5,10.38932633385,23064.12043917045,23277.97213348436,213.85169431391046,213.85169431391046,1599.8110912803145,0.1444964516616466,21965.828989686142
