Order_ID,Order_Date,Order_Quantity,Garment_Type,Fabric_Type,Fabric_Width_inches,Pattern_Complexity,Season,Supplier_ID,Production_Line,Operator_Experience_Years,Fabric_GSM,Marker_Efficiency_%,Expected_Defect_Rate_%,Fabric_Width_cm,Base_Consumption_Per_Unit_yards,Planned_BOM_yards,Actual_Consumption_yards,Variance_yards,Variance_%,Measurement_Unit,Order_Size_Category,Fabric_Cost_Per_yard,Planned_Cost_USD,Actual_Cost_USD,Waste_Cost_USD,Savings_Potential_USD,Efficiency_x_Experience,Defect_x_Complexity,Order_Value_USD,Garment_Type_Encoded,Fabric_Type_Encoded,Complexity_Encoded,Season_Encoded
ORD_000001,2022-01-01,960,Pants,Polyester,71,Complex,Fall,SUP_1,Line_D,10,231.10078083913416,85.56000658001231,2.5473752971824983,180.34,3.2746544365199073,3300.8516720120665,3346.7346915346,45.88301952253369,1.3900357871750488,yards,Medium,5.669280000195477,18713.45236774981,18973.576052677487,260.1236849276789,260.1236849276789,855.6000658001232,3.438956651196373,17822.33558833315,2,3,0,0
ORD_000002,2022-01-01,3872,Jacket,Cotton,55,Simple,Spring,SUP_2,Line_A,2,192.63909043557393,82.62498417239914,1.9552631164971193,139.7,4.383847151381532,17822.968978656754,18999.423710487154,1176.4547318303994,6.6007786538775886,yards,XLarge,7.772400000267992,138527.24409448818,147671.12085248204,9143.876757993878,9143.876757993878,165.24996834479828,1.9552631164971193,131930.7086614173,1,0,2,1
ORD_000003,2022-01-01,3192,Pants,Silk,63,Medium,Fall,SUP_3,Line_B,16,191.45051223826147,80.08589638840756,2.800720052707336,160.02,3.1437452644544424,10536.57662834551,10341.367033977413,-195.2095943680979,-1.8526851865998375,yards,XLarge,22.86000000078821,240866.14173228343,236403.65040487485,0.0,4462.491327408585,1281.374342214521,3.220828060613436,229396.3254593175,2,4,1,0
ORD_000004,2022-01-01,566,Dress,Cotton-Blend,63,Complex,Spring,SUP_1,Line_D,4,160.6497859060622,82.14679311949946,1.3861093229692625,160.02,4.428580285579302,2631.9052637197788,2785.8505113063507,153.9452475865719,5.849194106971571,yards,Medium,6.400800000220699,16846.29921259842,17831.671953384524,985.3727407861049,985.3727407861049,328.58717247799785,1.8712475860085045,16044.094488188972,0,1,0,1
ORD_000005,2022-01-01,4526,Pants,Polyester,63,Simple,Winter,SUP_2,Line_C,19,219.66077005713706,83.27094323583675,0.38330132994135163,160.02,2.733691534308211,12991.322278492911,12048.944609467913,-942.3776690249979,-7.25390109508022,yards,XLarge,5.669280000195477,73651.4435695538,68308.84069791954,0.0,5342.6028716342535,1582.1479214808983,0.38330132994135163,70144.23197100361,2,3,2,3
ORD_000006,2022-01-02,3544,Jacket,Cotton,63,Simple,Fall,SUP_2,Line_C,9,168.5584947833089,91.24165725626729,0.24480433675204272,160.02,3.8271681480314954,14241.658112454803,12899.71069804468,-1341.9474144101223,-9.422690839885735,yards,XLarge,7.772400000267992,110691.86351706037,100261.7114329395,0.0,10430.152084120866,821.1749153064056,0.24480433675204272,105420.82239720033,1,0,2,0
ORD_000007,2022-01-02,3271,T-Shirt,Silk,59,Medium,Spring,SUP_7,Line_C,3,129.34798252993681,82.64371568169744,1.312712445335748,149.86,1.6113026575780056,5534.099542584539,5584.643825518213,50.54428293367346,0.9133244269413381,yards,XLarge,22.86000000078821,126509.51554784461,127664.95785574823,1155.4423079036148,1155.4423079036148,247.93114704509233,1.5096193121361101,120485.25290270915,4,4,1,1
ORD_000008,2022-01-02,3019,Jacket,Cotton-Blend,63,Complex,Winter,SUP_10,Line_B,11,214.61767898829595,85.36147752521295,0.46065064777204395,160.02,5.166676999842519,16378.107755650795,16636.60156175229,258.49380610149456,1.578288590831311,yards,XLarge,6.400800000220699,104832.99212598425,106487.55928013574,1654.5671541514957,1654.5671541514957,938.9762527773424,0.6218783744922594,99840.94488188975,1,1,0,3
ORD_000009,2022-01-02,230,T-Shirt,Cotton,71,Complex,Summer,SUP_6,Line_B,8,196.37273558347806,81.6353710738702,8.064643311230245,180.34,1.5718341295295553,379.59794228138765,416.80094789362363,37.203005612235984,9.800634162726364,yards,Small,7.772400000267992,2950.3870466895864,3239.5436875200994,289.1566408305131,289.1566408305131,653.0829685909616,10.887268470160832,2809.8924254186536,4,0,0,2
ORD_000010,2022-01-02,1785,Shirt,Polyester,55,Complex,Spring,SUP_9,Line_B,7,164.55187856062517,89.60407285214616,0.4431719597655944,139.7,3.0436424508163213,5704.546863442491,5373.570076891727,-330.9767865507638,-5.801982076294682,yards,Large,5.669280000195477,32340.67344309235,30464.27336657114,0.0,1876.4000765212124,627.2285099650231,0.5982821456835525,30800.641374373667,3,3,0,1
